codcnh,nombre,latitude,longitude,municipios,codprov,provincias,ncamas,finalidad_asisitencial,cerrado
30250,HOSPITAL UNIVERSITARIO SAN JUAN DE ALICANTE,38.3976164,-0.42968950000000006,Sant Joan d'Alacant,3,ALICANTE,396,GENERAL,N
30279,CENTRO MÉDICO ACUARIO,38.82334580783038,-0.001085546996532279,Beniarbeig,3,ALICANTE,19,GENERAL,N
30298,HOSPÌTAL QUIRONSALUD TORREVIEJA,37.98698425292969,-0.6955779790878296,Torrevieja,3,ALICANTE,132,GENERAL,N
30328,HOSPITAL IMED LEVANTE,38.5411167,-0.10598869999999999,Alicante/Alacant,3,ALICANTE,100,GENERAL,N
30339,HOSPITAL UNIVERSITARIO DE TORREVIEJA,37.97758483886719,-0.6831889748573303,Torrevieja,3,ALICANTE,269,GENERAL,N
30340,HOSPITAL DE DENIA,38.84056091308594,0.10842499881982803,Dénia,3,ALICANTE,266,GENERAL,N
30351,HOSPITAL LA PEDRERA,38.8260347000073,0.0916320501575121,Dénia,3,ALICANTE,107,GERIATRÍA Y/O LARGA ESTANCIA,N
30362,CENTRO DE REHABILITACIÓN NEUROLÓGICA CASAVERDE,38.420596100000004,-0.46993609999999997,Mutxamel,3,ALICANTE,40,REHABILITACIÓN PSICOFÍSICA,N
30373,HOSPITAL UNIVERSITARIO VINALOPO,38.25459779999999,-0.7152393,Elche/Elx,3,ALICANTE,214,GENERAL,N
30384,HOSPITAL IMED ELCHE,38.2873645067241,-0.6188594417260911,Elche/Elx,3,ALICANTE,98,GENERAL,N
40010,HOSPITAL TORRECÁRDENAS,36.859657287597656,-2.4411749839782715,Almería,4,ALMERÍA,0,GENERAL,S
40031,HOSPITAL DE LA CRUZ ROJA,36.843621664705594,-2.452468544522166,Almería,4,ALMERÍA,0,GENERAL,N
40059,HOSPITAL VIRGEN DEL MAR,36.8462654,-2.4415948,Almería,4,ALMERÍA,76,GENERAL,N
40084,HOSPITAL LA INMACULADA,37.4032685000031,-1.9428963500388798,Huércal-Overa,4,ALMERÍA,184,GENERAL,N
40097,HOSPITAL UNIVERSITARIO TORRECÁRDENAS,36.859657287597656,-2.4411749839782715,Almería,4,ALMERÍA,763,GENERAL,N
40101,HOSPITAL MEDITERRÁNEO,36.820123547908295,-2.43551482525027,Almería,4,ALMERÍA,89,GENERAL,N
40118,HOSPITAL DE PONIENTE,51.09328079223633,10.380292892456056,"Ejido, El",4,ALMERÍA,273,GENERAL,N
40127,HOSPITAL DE ALTA RESOLUCIÓN EL TOYO,36.85175209308979,-2.31173957893259,Almería,4,ALMERÍA,44,GENERAL,N
50013,HOSPITAL NUESTRA SEÑORA DE SONSOLES,40.66228532872879,-4.67225397988029,Ávila,5,ÁVILA,0,GENERAL,N
50034,HOSPITAL PROVINCIAL DE ÁVILA,40.65061565482487,-4.6909804433387645,Ávila,5,ÁVILA,0,GENERAL,N
50049,CLÍNICA SANTA TERESA,40.658675278996746,-4.6878834895624495,Ávila,5,ÁVILA,33,GENERAL,N
50061,COMPLEJO ASISTENCIAL DE AVILA,40.66228532872879,-4.67225397988029,Ávila,5,ÁVILA,430,GENERAL,N
50072,HOSPITAL DE SALUD MENTAL CASTA SALUD ARÉVALO,41.0551122574973,-4.720634523429549,Arévalo,5,ÁVILA,80,PSIQUIÁTRICO,N
60016,COMPLEJO HOSPITALARIO UNIVERSITARIO DE BADAJOZ,38.8854542519145,-7.008853250754041,Badajoz,6,BADAJOZ,915,GENERAL,N
60021,HOSPITAL UNIVERSITARIO DE BADAJOZ,38.8854542519145,-7.008853250754041,Badajoz,6,BADAJOZ,0,GENERAL,N
60037,HOSPITAL MATERNO INFANTIL,38.865745600158895,-6.96999485003992,Badajoz,6,BADAJOZ,0,MATERNO-INFANTIL,N
60080,"HOSPITAL ""FUNDACIÓN SAN JUAN DE DIOS DE EXTREMADURA""",38.6805037,-6.405271599999999,Almendralejo,6,BADAJOZ,105,GERIATRÍA Y/O LARGA ESTANCIA,N
60093,HOSPITAL DON BENITO-VILLANUEVA DE LA SERENA,38.9545351,-5.8611368,Don Benito,6,BADAJOZ,0,GENERAL,N
60114,HOSPITAL GENERAL DE LLERENA,38.243159332867656,-6.0124816366412,Llerena,6,BADAJOZ,0,GENERAL,N
60129,HOSPITAL DE MÉRIDA,38.912001399999994,-6.3634244,Mérida,6,BADAJOZ,0,GENERAL,N
60135,CENTRO SOCIOSANITARIO DE MÉRIDA,38.9227588,-6.3270932,Mérida,6,BADAJOZ,270,PSIQUIÁTRICO,N
60140,HOSPITAL QUIRÓNSALUD SANTA JUSTA,38.973260344317005,-5.79553870253161,Villanueva de la Serena,6,BADAJOZ,29,QUIRÚRGICO,N
60172,HOSPITAL QUIRONSALUD CLIDEBA,38.8688594000089,-6.98906894995852,Badajoz,6,BADAJOZ,73,GENERAL,N
60188,HOSPITAL PARQUE VIA DE LA PLATA,38.4244606000122,-6.411446900039481,Zafra,6,BADAJOZ,9,GENERAL,N
60208,HOSPITAL DE ZAFRA,38.4305732708509,-6.4167468482261105,Zafra,6,BADAJOZ,0,GENERAL,N
60219,COMPLEJO HOSPITALARIO LLERENA-ZAFRA,38.243159332867656,-6.0124816366412,Llerena,6,BADAJOZ,227,GENERAL,N
60220,HOSPITAL PERPETUO SOCORRO,38.8671154053821,-6.97310266213956,Badajoz,6,BADAJOZ,0,GENERAL,N
60231,HOSPITAL SIBERIA-SERENA,39.03323745727539,-5.2362589836120605,Talarrubias,6,BADAJOZ,0,GENERAL,N
60242,HOSPITAL TIERRA DE BARROS,38.6882710992103,-6.4043282552608005,Almendralejo,6,BADAJOZ,0,GENERAL,N
60253,COMPLEJO H. DON BENITO-VVA DE LA SERENA,38.9617206,-5.864335400000001,Don Benito,6,BADAJOZ,320,GENERAL,N
60264,COMPLEJO HOSPITALARIO DEL ÁREA DE SALUD DE MÉRIDA,38.912001399999994,-6.3634244,Mérida,6,BADAJOZ,381,GENERAL,N
60275,CASAVERDE. CENTRO DE REHABILITACIÓN NEUROLÓGICO DE EXTREMADURA,38.9099713971776,-6.37209521049142,Mérida,6,BADAJOZ,100,REHABILITACIÓN PSICOFÍSICA,N
60286,CLÍNICA EXTREMEÑA DE SALUD,38.8838119506836,-6.98399019241333,Badajoz,6,BADAJOZ,20,GENERAL,N
60297,HOSPITAL PARQUE VEGAS ALTAS,38.9620419167517,-5.85748531188388,Don Benito,6,BADAJOZ,21,GENERAL,N
70048,HOSPITAL GENERAL DE MALLORCA,39.574221200000004,2.6467883999999997,Palma de Mallorca,7,ILLES BALEARS,100,GERIATRÍA Y/O LARGA ESTANCIA,N
70051,HOSPITAL PSIQUIÀTRIC,39.595566600000005,2.6298166000000003,Palma de Mallorca,7,ILLES BALEARS,168,PSIQUIÁTRICO,N
70064,CLÍNICA MUTUA BALEAR,39.575232799999995,2.6464719,Palma de Mallorca,7,ILLES BALEARS,40,TRAUMATOLOGÍA Y/O REHABILITACIÓN,N
70070,HOSPITAL DE LA CRUZ ROJA ESPAÑOLA,39.583886299999996,2.6531568,Palma de Mallorca,7,ILLES BALEARS,73,MÉDICO-QUIRÚRGICO,N
70086,HOSPITAL SANT JOAN DE DEU,39.54711629999999,2.6985938999999997,Palma de Mallorca,7,ILLES BALEARS,200,MÉDICO-QUIRÚRGICO,N
70099,CLÍNICA ROTGER,39.5757354,2.6469365000000002,Palma de Mallorca,7,ILLES BALEARS,186,GENERAL,N
70110,CLINICA JUANEDA,39.5763991,2.6277846,Palma de Mallorca,7,ILLES BALEARS,196,GENERAL,N
70131,POLICLÍNICA MIRAMAR,39.5835955,2.6305023999999997,Palma de Mallorca,7,ILLES BALEARS,206,GENERAL,N
70162,HOSPITAL JOAN MARCH,39.6255717,2.6618883999999996,Bunyola,7,ILLES BALEARS,106,GERIATRÍA Y/O LARGA ESTANCIA,N
70184,HOSPITAL CAN MISSES,38.9158952284854,1.41788891413591,Eivissa,7,ILLES BALEARS,245,GENERAL,N
70197,HOSPITAL RESIDENCIA ASISTIDA CAS SERRES,38.9088249206543,1.432070016860962,Eivissa,7,ILLES BALEARS,5,OTRA FINALIDAD,N
70201,"POLICLÍNICA NUESTRA SEÑORA DEL ROSARIO, S.A.",38.9075165832007,1.43151465227718,Eivissa,7,ILLES BALEARS,70,GENERAL,N
70244,CLÍNICA JUANEDA MENORCA,40.0043744000015,3.8419065000277994,Ciutadella de Menorca,7,ILLES BALEARS,41,GENERAL,N
70260,HOSPITAL GENERAL DE MURO,39.81338529999999,3.1079103999999997,Muro,7,ILLES BALEARS,85,GENERAL,N
70295,CLINICA JUANEDA MAHON,39.8865698,4.256011,Maó-Mahón,7,ILLES BALEARS,18,GENERAL,N
70309,HOSPITAL MANACOR,39.57442855834961,3.201385974884033,Manacor,7,ILLES BALEARS,224,GENERAL,N
70333,HOSPITAL SON LLATZER,39.566744,3.2052224999999996,Palma de Mallorca,7,ILLES BALEARS,419,GENERAL,N
70344,HOSPITAL QUIRÓNSALUD PALMAPLANAS,39.597786,2.6424578,Palma de Mallorca,7,ILLES BALEARS,169,GENERAL,N
70366,HOSPITAL DE FORMENTERA,38.70719909667969,1.430966019630432,Formentera,7,ILLES BALEARS,12,GENERAL,N
70377,HOSPITAL COMARCAL D'INCA,39.7169157105222,2.9216121936982202,Inca,7,ILLES BALEARS,165,GENERAL,N
70388,HOSPITAL MATEU ORFILA,39.88011932373047,4.256029129028319,Maó-Mahón,7,ILLES BALEARS,142,GENERAL,N
70399,HOSPITAL UNIVERSITARI SON ESPASES,39.6075286658744,2.64780485596609,Palma de Mallorca,7,ILLES BALEARS,839,GENERAL,N
70412,HOSPITAL DE LLEVANT,39.5451977,3.3294865,Manacor,7,ILLES BALEARS,70,GENERAL,N
70423,HOSPITAL CLINIC BALEAR,39.4914758900211,2.7403238608183598,Llucmajor,7,ILLES BALEARS,34,GENERAL,N
70434,CLÍNICA LUZ DE PALMA,39.567184999999995,2.6243016,Palma de Mallorca,7,ILLES BALEARS,38,GENERAL,N
80044,"HOSPITAL CLÍNIC DE BARCELONA, SEU SABINO DE ARANA",41.3854491,2.1266675,Barcelona,8,BARCELONA,130,MATERNO-INFANTIL,N
80057,HOSPITAL DEL MAR.,41.383323922896416,2.194750497677086,Barcelona,8,BARCELONA,470,GENERAL,N
80060,HOSPITAL DE L'ESPERANÇA.,41.4109657,2.1543638,Barcelona,8,BARCELONA,161,GENERAL,N
80109,HOSPITAL CLÍNIC DE BARCELONA,41.3891161,2.1517654999999998,Barcelona,8,BARCELONA,844,GENERAL,N
80116,HOSPITAL FREMAP BARCELONA,41.4014259,2.150446,Barcelona,8,BARCELONA,62,GENERAL,N
80137,CENTRE DE PREVENCIÓ I REHABILITACIÓ ASEPEYO,41.4903344074835,2.07765632314624,Sant Cugat del Vallès,8,BARCELONA,138,GENERAL,N
80142,CLÍNICA MC COPÈRNIC,41.4011105,2.1411990000000003,Barcelona,8,BARCELONA,60,GENERAL,N
80155,CLÍNICA MC LONDRES,41.389227000000005,2.1453463,Barcelona,8,BARCELONA,22,GENERAL,N
80168,HOSPITAL EGARSAT SANT HONORAT,41.4121333,2.1358069,Barcelona,8,BARCELONA,14,GENERAL,N
80174,HOSPITAL DOS DE MAIG,41.410691,2.1770391,Barcelona,8,BARCELONA,229,GENERAL,N
80180,HOSPITAL EL PILAR,41.40022866356618,2.1488537540710126,Barcelona,8,BARCELONA,186,GENERAL,N
80214,HOSPITAL SANT RAFAEL,41.425683299999996,2.1423646,Barcelona,8,BARCELONA,213,GENERAL,N
80229,CLÍNICA NOSTRA SENYORA DEL REMEI,41.4096598,2.1591997000000003,Barcelona,8,BARCELONA,134,GENERAL,N
80235,CLÍNICA SAGRADA FAMÍLIA,41.4006024,2.1343369,Barcelona,8,BARCELONA,150,GENERAL,N
80253,HOSPITAL MARE DE DÉU DE LA MERCÈ,41.4375364,2.1618821,Barcelona,8,BARCELONA,113,PSIQUIÁTRICO,N
80266,CLÍNICA  SOLARIUM,41.417266600000005,2.1380577,Barcelona,8,BARCELONA,44,GERIATRÍA Y/O LARGA ESTANCIA,N
80291,HOSPITAL DE LA SANTA CREU I SANT PAU,41.41569148811824,2.1750652467439378,Barcelona,8,BARCELONA,644,GENERAL,N
80312,NOU HOSPITAL EVANGÈLIC,41.41298929981691,2.162394929407808,Barcelona,8,BARCELONA,116,GERIATRÍA Y/O LARGA ESTANCIA,N
80327,HOSPITAL DE NENS DE BARCELONA,41.3973523,2.1738664,Barcelona,8,BARCELONA,18,INFANTIL,N
80333,INSTITUT GUTTMANN,41.4689221345481,2.2422471125311203,Badalona,8,BARCELONA,152,TRAUMATOLOGÍA Y/O REHABILITACIÓN,N
80348,FUNDACIÓ PUIGVERT - IUNA,41.4084540501846,2.17792180053572,Barcelona,8,BARCELONA,124,OTROS MONOGRÁFICOS,N
80351,HESTIA PALAU.,41.4100261,2.1726071,Barcelona,8,BARCELONA,317,GERIATRÍA Y/O LARGA ESTANCIA,N
80364,HOSPITAL UNIVERSITARI SAGRAT COR,41.38846130102552,2.145755850309228,Barcelona,8,BARCELONA,367,GENERAL,N
80370,CLÍNICA CORACHAN,41.3934842,2.1307271,Barcelona,8,BARCELONA,162,GENERAL,N
80386,CLÍNICA TRES TORRES,41.399217799999995,2.1288351000000003,Barcelona,8,BARCELONA,64,GENERAL,N
80399,HOSPITAL QUIRÓNSALUD BARCELONA,41.41478265441787,2.1383890944904818,Barcelona,8,BARCELONA,192,GENERAL,N
80403,CENTRE  MÈDIC  DELFOS,41.414109,2.1429195,Barcelona,8,BARCELONA,264,GENERAL,N
80410,CENTRE MÈDIC SANT JORDI DE SANT ANDREU,41.4361953,2.1927993999999997,Barcelona,8,BARCELONA,57,GENERAL,N
80431,HOSPITAL PLATÓ,41.400890600000004,2.1425552000000003,Barcelona,8,BARCELONA,168,GENERAL,N
80446,HOSPITAL UNIVERSITARI QUIRÓN DEXEUS,41.3852599,2.1261017000000004,Barcelona,8,BARCELONA,170,GENERAL,N
80478,"CENTRO MÉDICO TEKNON,  GRUPO QUIRONSALUD",41.405451,2.1283687000000002,Barcelona,8,BARCELONA,285,GENERAL,N
80484,HOSPITAL  DE  BARCELONA,41.3895219,2.1298522,Barcelona,8,BARCELONA,350,GENERAL,N
80497,CENTRE HOSPITALARI POLICLÍNICA BARCELONA,41.4032665,2.1496053,Barcelona,8,BARCELONA,28,GENERAL,N
80538,CENTRE D'OFTALMOLOGIA BARRAQUER,41.3969836,2.1458917,Barcelona,8,BARCELONA,70,OFTÁLMICO U ORL,N
80543,HESTIA DURAN I REYNALS,41.344991230902885,2.109556419391533,"Hospitalet de Llobregat, L'",8,BARCELONA,428,GERIATRÍA Y/O LARGA ESTANCIA,N
80556,"SERVEIS CLÍNICS, S.A.",41.4124759,2.1360808,Barcelona,8,BARCELONA,50,GERIATRÍA Y/O LARGA ESTANCIA,N
80575,CLÍNICA COROLEU - SSR HESTIA.,41.432964299999995,2.1870035,Barcelona,8,BARCELONA,74,PSIQUIÁTRICO,N
80641,CLÍNICA PLANAS,41.3993049,2.1156136,Barcelona,8,BARCELONA,26,QUIRÚRGICO,N
80667,HOSPITAL UNIVERSITARI GERMANS TRIAS I PUJOL DE BADALONA,41.478004455566406,2.2157599925994877,Badalona,8,BARCELONA,516,GENERAL,N
80673,HOSPITAL MUNICIPAL DE BADALONA,41.4506513,2.2458572999999995,Badalona,8,BARCELONA,140,GENERAL,N
80689,CENTRE SOCIOSANITARI EL CARME,41.458966,2.2308008,Badalona,8,BARCELONA,210,GERIATRÍA Y/O LARGA ESTANCIA,N
80692,HOSPITAL COMARCAL DE SANT BERNABÉ,42.104528400003,1.85028209999428,Berga,8,BARCELONA,150,GENERAL,N
80706,HOSPITAL COMARCAL SANT JAUME DE CALELLA,41.61476048057119,2.657359817453565,Calella,8,BARCELONA,233,GENERAL,N
80713,HOSPITAL DE SANT JOAN DE DÉU.,41.3688948,2.0742136,Esplugues de Llobregat,8,BARCELONA,401,MATERNO-INFANTIL,N
80728,CLÍNICA NOSTRA SENYORA DE GUADALUPE,41.3589701,2.0959795,Esplugues de Llobregat,8,BARCELONA,159,GERIATRÍA Y/O LARGA ESTANCIA,N
80734,HOSPITAL GENERAL DE GRANOLLERS.,41.6137528,2.290727,Granollers,8,BARCELONA,306,GENERAL,N
80752,HOSPITAL UNIVERSITARI DE BELLVITGE,41.3501681013529,2.09794820567831,"Hospitalet de Llobregat, L'",8,BARCELONA,1022,GENERAL,N
80771,HOSPITAL GENERAL DE L'HOSPITALET,41.3740708,2.1064648999999998,"Hospitalet de Llobregat, L'",8,BARCELONA,89,GENERAL,N
80787,FUNDACIÓ SANITÀRIA SANT JOSEP,41.5826218,1.6191076000000002,Igualada,8,BARCELONA,145,GERIATRÍA Y/O LARGA ESTANCIA,N
80826,HOSPITAL  DE  SANT  JAUME,42.00139344670657,2.2872671069468447,Manlleu,8,BARCELONA,90,GERIATRÍA Y/O LARGA ESTANCIA,N
80832,CLÍNICA SANT JOSEP,41.72286210000001,1.8320710999999998,Manresa,8,BARCELONA,95,GENERAL,N
80850,CENTRE HOSPITALARI.,41.735092130518005,1.824630534108428,Manresa,8,BARCELONA,309,GENERAL,N
80863,HOSPITAL DE SANT JOAN DE DÉU (MANRESA),41.720177837132,1.83915144701485,Manresa,8,BARCELONA,280,GENERAL,N
80879,HOSPITAL DE SANT ANDREU,41.725319808286635,1.8292922201307693,Manresa,8,BARCELONA,191,GERIATRÍA Y/O LARGA ESTANCIA,N
80885,GERMANES HOSPITALÀRIES. HOSPITAL SAGRAT COR,41.489190366339,1.91186803067326,Martorell,8,BARCELONA,488,PSIQUIÁTRICO,N
80898,FUNDACIÓ HOSPITAL SANT JOAN DE DÉU,41.472097926073396,1.920608547495271,Martorell,8,BARCELONA,112,GENERAL,N
80930,"CENTRE MÈDIC MOLINS, SL",41.4180174,2.0108677,Molins de Rei,8,BARCELONA,177,GERIATRÍA Y/O LARGA ESTANCIA,N
80945,HOSPITAL DE MOLLET,41.54118728637695,2.213916063308716,Mollet del Vallès,8,BARCELONA,164,GENERAL,N
80958,HOSPITAL DE SABADELL,41.573089599609375,2.109924077987671,Sabadell,8,BARCELONA,861,GENERAL,N
80977,"BENITO MENNI,COMPLEX ASSISTENCIAL EN SALUT MENTAL.",41.34988870000001,2.0382356,Sant Boi de Llobregat,8,BARCELONA,774,PSIQUIÁTRICO,N
80983,PARC SANITARI SANT JOAN DE DÉU - RECINTE SANT BOI.,41.357640300000206,2.03440365000258,Sant Boi de Llobregat,8,BARCELONA,1065,GENERAL,N
80996,PARC SANITARI SANT JOAN DE DÉU - HOSPITAL GENERAL,41.35693739076708,2.0309278849221526,Sant Boi de Llobregat,8,BARCELONA,246,GENERAL,S
81000,HOSPITAL DE SANT CELONI.,41.68476140310975,2.4772322457532416,Sant Celoni,8,BARCELONA,100,GENERAL,N
81017,HOSPITAL UNIVERSITARI GENERAL DE CATALUNYA,41.475790350012005,2.0430533000313402,Sant Cugat del Vallès,8,BARCELONA,286,GENERAL,N
81022,CASAL DE CURACIÓ,41.50171982646349,2.3874448250338536,Vilassar de Mar,8,BARCELONA,81,GERIATRÍA Y/O LARGA ESTANCIA,N
81038,HOSPITAL RESIDÈNCIA SANT CAMIL - CONSORCI SANITARI DEL GARRAF.,41.253428350005,1.76875455000143,Sant Pere de Ribes,8,BARCELONA,295,GENERAL,N
81056,CENTRES ASSISTENCIALS DR. EMILI MIRA I LÓPEZ (RECINTE TORRIBERA).,41.459510241411365,2.2133116427152806,Santa Coloma de Gramenet,8,BARCELONA,454,PSIQUIÁTRICO,N
81069,FUNDACIÓ HOSPITAL DE L'ESPERIT SANT,41.4392312975921,2.2108676045242004,Santa Coloma de Gramenet,8,BARCELONA,177,GENERAL,N
81075,HOSPITAL DE TERRASSA.,41.55572128295898,2.0554590225219727,Terrassa,8,BARCELONA,460,GENERAL,N
81081,HOSPITAL DE SANT LLÀTZER,41.5633503500018,2.0164044000362598,Terrassa,8,BARCELONA,77,GERIATRÍA Y/O LARGA ESTANCIA,N
81094,HOSPITAL UNIVERSITARI MÚTUA DE TERRASSA,41.5633503500018,2.0164044000362598,Terrassa,8,BARCELONA,534,GENERAL,N
81108,HOSPITAL  UNIVERSITARI DE VIC,41.9360396932297,2.25942041549409,Vic,8,BARCELONA,292,GENERAL,N
81115,CLÍNICA SANT JOSEP,41.92992809015871,2.2611887971387787,Vic,8,BARCELONA,21,GENERAL,N
81120,HOSPITAL DE LA SANTA CREU,41.930037450000704,2.2529198499941,Vic,8,BARCELONA,127,GERIATRÍA Y/O LARGA ESTANCIA,N
81141,HOSPITAL DE VILADECANS,41.31144238805111,2.013791346532729,Viladecans,8,BARCELONA,110,GENERAL,N
81189,HOSPITAL SANT ANTONI ABAT - CONSORCI SANITARI DEL GARRAF.,41.228703,1.7228348999999998,Vilanova i la Geltrú,8,BARCELONA,111,GERIATRÍA Y/O LARGA ESTANCIA,N
81192,CENTRE SOCIOSANITARI CAN TORRAS,41.482046399999994,2.3051329,Alella,8,BARCELONA,119,GERIATRÍA Y/O LARGA ESTANCIA,N
81213,HESTIA MARESME,41.535885799999996,2.4442681,Mataró,8,BARCELONA,125,GERIATRÍA Y/O LARGA ESTANCIA,N
81228,PRYTANIS SANT BOI CENTRE SOCIOSANITARI,41.3493902,2.0391890999999998,Sant Boi de Llobregat,8,BARCELONA,122,GERIATRÍA Y/O LARGA ESTANCIA,N
81234,CENTRE SOCIOSANITARI VERGE DEL PUIG,41.6910815,2.485831,Sant Celoni,8,BARCELONA,40,GERIATRÍA Y/O LARGA ESTANCIA,N
81287,RESIDÈNCIA L'ESTADA,41.5657189,2.4897218,Sant Andreu de Llavaneres,8,BARCELONA,60,GERIATRÍA Y/O LARGA ESTANCIA,N
81304,RESIDÈNCIA PUIG-REIG,41.9779343,1.8794258999999998,Puig-reig,8,BARCELONA,30,GERIATRÍA Y/O LARGA ESTANCIA,N
81311,RESIDÈNCIA SANTA SUSANNA,41.6308213,2.1640341,Caldes de Montbui,8,BARCELONA,64,GERIATRÍA Y/O LARGA ESTANCIA,N
81326,HOSPITAL DE MATARÓ,41.5551946,2.4294843,Mataró,8,BARCELONA,402,GENERAL,N
81347,HOSPITAL UNIVERSITARI VALL D'HEBRON,41.4280047,2.1434324,Barcelona,8,BARCELONA,1315,GENERAL,N
81350,CENTRE POLIVALENT CAN FOSC,41.6599531497575,2.2690159715580096,"Ametlla del Vallès, L'",8,BARCELONA,56,GERIATRÍA Y/O LARGA ESTANCIA,N
81379,HOSPITAL SOCIOSANITARI MUTUAM GÜELL,41.4114053,2.1567041000000002,Barcelona,8,BARCELONA,167,GERIATRÍA Y/O LARGA ESTANCIA,N
81402,"MÚTUA DE GRANOLLERS, MÚTUA DE PREVISIÓ SOCIAL A PRIMA FIXA",41.6068181000117,2.2894566000000003,Granollers,8,BARCELONA,20,GENERAL,N
